,Acoes
601,CEPE3.SA
602,CEED3F.SA
603,CEED4F.SA
604,CEED4.SA
605,CEED3.SA
606,EEEL4F.SA
607,EEEL3F.SA
608,EEEL4.SA
609,EEEL3.SA
610,CASN4F.SA
611,CASN3F.SA
612,CASN4.SA
613,CASN3.SA
614,CEGR3F.SA
615,CEGR3.SA
616,CEBR3F.SA
617,CEBR6F.SA
618,CEBR5F.SA
619,CEBR6.SA
620,CEBR5.SA
621,CEBR3.SA
622,RNEW11F.SA
623,RNEW11F.SA
624,RNEW4F.SA
625,RNEW4.SA
626,RNEW3.SA
627,COCE6F.SA
628,COCE5F.SA
629,COCE3F.SA
630,COCE6.SA
631,COCE5.SA
632,COCE3.SA
633,CLSC4F.SA
634,CLSC3F.SA
635,CLSC4.SA
636,CLSC3.SA
637,ALUP4F.SA
638,ALUP3F.SA
639,ALUP11F.SA
640,ALUP4.SA
641,ALUP3.SA
642,ALUP11.SA
643,SAPR11F.SA
644,SAPR4F.SA
645,SAPR3F.SA
646,SAPR4.SA
647,SAPR3.SA
648,SAPR11.SA
649,CPRE3F.SA
650,CPRE3.SA
651,CPLE5F.SA
652,CPLE6F.SA
653,CPLE6.SA
654,CPLE5.SA
655,CPLE3F.SA
656,CPLE3.SA
657,CPFE3F.SA
658,CPFE3.SA
659,CGAS3F.SA
660,CGAS5F.SA
661,CGAS5.SA
662,CGAS3.SA
663,AESB3F.SA
664,AESB3.SA
665,NEOE3.SA
666,TRPL4F.SA
667,TRPL4.SA
668,TRPL3F.SA
669,TRPL3.SA
670,EGIE3.SA
671,TAEE4.SA
672,TAEE3.SA
673,TAEE11.SA
674,SBSP3F.SA
675,SBSP3.SA
676,RNEW11.SA
677,GEPA4.SA
678,GEPA3.SA
679,CESP6.SA
680,CESP5.SA
681,CESP3F.SA
682,CESP3.SA
683,CMIG4.SA
684,CMIG3F.SA
685,CMIG3.SA
686,AFLT3.SA
